id,company_name,credit_code,registered_capital,capital_amount,established_date,legal_representative,business_scope,registered_address,status,industry_tags,source_url,created_at,updated_at
1,武汉斗鱼网络科技有限公司,91420100333437374F,2234万元,2234.00,2015-05-08,陈少杰,网络直播平台运营、互联网技术开发、软件开发、信息技术咨询服务、计算机系统集成,,raw,,,2026-07-30 16:47:26.488564,2026-07-30 16:47:26.488564
2,烽火通信科技股份有限公司,914201007146661114,128921万元,128921.00,1999-12-25,曾军,光纤通信和相关通信技术、信息技术领域的科技开发；相关高新技术产品设计、制造和销售；系统集成,,raw,,,2026-07-30 16:47:26.488564,2026-07-30 16:47:26.488564
3,武汉达梦数据库有限公司,91420100737519378E,7050万元,7050.00,2000-11-13,冯裕才,数据库管理系统软件、数据集成软件、数据治理软件的研发、销售及技术服务；信息系统集成,,raw,,,2026-07-30 16:47:26.488564,2026-07-30 16:47:26.488564
4,武汉旷视金智科技有限公司,91420100MA4KXMM02E,1000万元,1000.00,2019-01-15,唐雪峰,人工智能技术开发、技术咨询、技术服务；计算机系统集成；软件开发,,raw,,,2026-07-30 16:47:26.488564,2026-07-30 16:47:26.488564
5,腾讯科技(武汉)有限公司,91420100584872426J,1000万元,1000.00,2012-02-15,马化腾,计算机软硬件技术开发、销售；互联网技术开发；信息技术咨询服务；网络游戏开发,,raw,,,2026-07-30 16:47:26.488564,2026-07-30 16:47:26.488564
6,远光软件(武汉)有限公司,91420100333557392D,500万元,500.00,2015-07-20,陈利浩,软件开发、信息技术咨询服务、计算机系统集成、大数据分析,,raw,,,2026-07-30 16:47:26.488564,2026-07-30 16:47:26.488564
7,武汉百域人工智能科技有限公司,91420111MA4L0QBP9Q,3500万元,3500.00,2018-09-13,陈刚,数字技术服务、信息系统集成服务、互联网数据服务、人工智能应用软件开发、人工智能公共服务平台技术咨询,,raw,,,2026-07-30 16:47:26.488564,2026-07-30 16:47:26.488564
8,武汉融芯智能科技有限公司,91420100MABTNX8857,2000万元,2000.00,2021-06-15,王磊,人工智能硬件开发、智能控制系统集成、人工智能通用应用系统开发、大数据服务,,raw,,,2026-07-30 16:47:26.488564,2026-07-30 16:47:26.488564
9,武汉爱迪软件技术有限公司,91420100MA4F3N3H5N,500万元,500.00,2021-03-10,李明,智慧检务软件产品开发、信息系统集成服务、软件开发、信息技术咨询,,raw,,,2026-07-30 16:47:26.488564,2026-07-30 16:47:26.488564
10,武汉灿宇未来科技有限公司,91420111MA49RM6Q01,100万元,100.00,2021-05-20,张伟,信息技术咨询服务、软件开发、人工智能基础软件开发、网络技术服务,,raw,,,2026-07-30 16:47:26.488564,2026-07-30 16:47:26.488564
