id,company_id,total_score,rating_level,tech_score,funding_score,intent_score,team_score,industry_score,demand_tags,sales_pitch,reasoning,rated_by,rated_at
58,1,39,C,15,15,0,5,4,,,,rules_engine,2026-08-04 12:35:18.778131
59,2,42,B,15,20,5,0,2,,,,rules_engine,2026-08-04 12:35:18.778131
60,3,42,B,15,20,0,5,2,,,,rules_engine,2026-08-04 12:35:18.778131
61,4,41,B,15,15,0,5,6,,,,rules_engine,2026-08-04 12:35:18.778131
62,5,30,C,15,15,0,0,0,,,,rules_engine,2026-08-04 12:35:18.778131
63,6,46,B,10,15,10,5,6,,,,rules_engine,2026-08-04 12:35:18.778131
66,13,40,B,10,20,10,0,0,,,,rules_engine,2026-08-04 12:35:18.778131
64,9,29,C,0,10,10,5,4,,,,rules_engine,2026-08-04 12:35:18.778131
65,10,19,D,0,10,0,5,4,,,,rules_engine,2026-08-04 12:35:18.778131
67,12,51,B,15,15,10,5,6,,,,rules_engine,2026-08-04 12:35:18.778131
68,14,56,B,15,20,10,5,6,,,,rules_engine,2026-08-04 12:35:18.778131
69,15,51,B,15,20,10,0,6,,,,rules_engine,2026-08-04 12:35:18.778131
70,11,56,B,15,20,10,5,6,,,,rules_engine,2026-08-04 12:35:18.778131
71,7,36,C,5,15,5,5,6,,,,rules_engine,2026-08-04 12:35:18.778131
72,8,45,B,5,15,15,5,5,,,,rules_engine,2026-08-04 12:35:18.778131
