id,company_id,tech_stack,github_org,github_stars,tech_blog_url,cloud_provider,has_github_org,has_tech_blog,ai_job_ratio,created_at
1,1,,,0,,,f,f,0.0000,2026-07-30 16:47:26.503298
2,2,,,0,,,f,f,0.0000,2026-07-30 16:47:26.503298
3,3,,,0,,,f,f,0.0000,2026-07-30 16:47:26.503298
4,4,,,0,,,f,f,0.0000,2026-07-30 16:47:26.503298
5,5,,,0,,,f,f,0.0000,2026-07-30 16:47:26.503298
6,6,,,0,,,f,f,0.0000,2026-07-30 16:47:26.503298
7,7,,,0,,,f,f,0.0000,2026-07-30 16:47:26.503298
8,8,,,0,,,f,f,0.0000,2026-07-30 16:47:26.503298
9,9,,,0,,,f,f,0.0000,2026-07-30 16:47:26.503298
10,10,,,0,,,f,f,0.0000,2026-07-30 16:47:26.503298
