company_name,source_category,sources_count,sources
SEW-传动设备(武汉)有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
三樱(武汉)汽车部件有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
东实精工齿轮(武汉)有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
东方电气(武汉)核设备有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
东风(武汉)电驱动系统有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第三批_.wps
东风亚普汽车部件有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第二批_.wps
东风佛吉亚汽车内饰有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
东风博泽汽车系统有限公司,数字化改造验收,2,武汉市2025年中小企业数字化改造验收通过企业名单_第三批_.wps;武汉市2025年度基础级智能工厂拟认定名单.doc
东风富士汤姆森调温器有限公司,数字化改造验收,1,2025年武汉市中小企业数字化改造验收通过企业名单_第一批_.wps
东风延锋汽车座椅有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
东风延锋汽车座舱系统有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第四批_.wps
东风彼欧汽车外饰系统有限公司,数字化改造验收,2,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx;武汉市2025年度基础级智能工厂拟认定名单.doc
东风悦享科技有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
东风河西(武汉)顶饰系统有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
东风爱机汽车冲压件有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
东风马勒热系统有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第三批_.wps
中交二航局科工(武汉)有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
中冶南方(武汉)热工有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
中国电建集团武汉重工装备有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第二批_.wps
中国船舶重工集团应急预警与救援装备股份有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
中基科技(武汉)有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
中步擎天新能源(湖北)有限公司,数字化改造验收,1,2025年武汉市中小企业数字化改造验收通过企业名单_第一批_.wps
中电科创智联(武汉)有限责任公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第三批_.wps
中科天工(武汉)技术有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第三批_.wps
中船星惯科技(武汉)有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
中远航船舶研究院(武汉)有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
中连讯科(武汉)光电科技有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第二批_.wps
中铁十一局武汉重型装备有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第四批_.wps
中铁桥研科技有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
乐福思健康产业股份公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第三批_.wps
京赢电子(武汉)有限公司,数字化改造验收,1,武汉市2025年中小企业数字化改造验收通过企业名单_第五批_.docx
