id,company_name,source_category
1,SEW-传动设备(武汉)有限公司,数字化改造验收
2,三樱(武汉)汽车部件有限公司,数字化改造验收
3,东实精工齿轮(武汉)有限公司,数字化改造验收
4,东方电气(武汉)核设备有限公司,数字化改造验收
5,东风(武汉)电驱动系统有限公司,数字化改造验收
6,东风亚普汽车部件有限公司,数字化改造验收
7,东风佛吉亚汽车内饰有限公司,数字化改造验收
8,东风博泽汽车系统有限公司,数字化改造验收
9,东风富士汤姆森调温器有限公司,数字化改造验收
10,东风延锋汽车座椅有限公司,数字化改造验收
11,东风延锋汽车座舱系统有限公司,数字化改造验收
12,东风彼欧汽车外饰系统有限公司,数字化改造验收
13,东风悦享科技有限公司,数字化改造验收
14,东风河西(武汉)顶饰系统有限公司,数字化改造验收
15,东风爱机汽车冲压件有限公司,数字化改造验收
16,东风马勒热系统有限公司,数字化改造验收
17,中交二航局科工(武汉)有限公司,数字化改造验收
18,中冶南方(武汉)热工有限公司,数字化改造验收
19,中国电建集团武汉重工装备有限公司,数字化改造验收
20,中国船舶重工集团应急预警与救援装备股份有限公司,数字化改造验收
21,中基科技(武汉)有限公司,数字化改造验收
22,中步擎天新能源(湖北)有限公司,数字化改造验收
23,中电科创智联(武汉)有限责任公司,数字化改造验收
24,中科天工(武汉)技术有限公司,数字化改造验收
25,中船星惯科技(武汉)有限公司,数字化改造验收
26,中远航船舶研究院(武汉)有限公司,数字化改造验收
27,中连讯科(武汉)光电科技有限公司,数字化改造验收
28,中铁十一局武汉重型装备有限公司,数字化改造验收
29,中铁桥研科技有限公司,数字化改造验收
30,乐福思健康产业股份公司,数字化改造验收
31,京赢电子(武汉)有限公司,数字化改造验收
32,伊莱瑞特(武汉)生物技术有限公司,数字化改造验收
33,众志远(武汉)物流设备有限公司,数字化改造验收
34,佛吉亚(武汉)汽车部件系统有限公司,数字化改造验收
35,先惠自动化技术(武汉)有限责任公司,数字化改造验收
36,凯德自控武汉智能装备有限公司,数字化改造验收
37,劲帆医药科技(武汉江夏)有限公司,数字化改造验收
38,北立传感器技术(武汉)有限公司,数字化改造验收
39,千里马工程机械再制造集团有限公司,数字化改造验收
40,华域视觉科技(武汉)有限公司,数字化改造验收
41,华基环保(武汉)有限公司,数字化改造验收
42,华引芯(武汉)科技有限公司,数字化改造验收
43,华瑞新制罐(武汉)有限公司,数字化改造验收
44,华达汽车科技(武汉)有限公司,数字化改造验收
