id,company_name,industry_tags,business_scope,registered_capital,established_year
1,武汉斗鱼网络科技有限公司,"互联网,软件开发",网络直播平台运营、互联网技术开发、软件开发、信息技术咨询服务,2234万元,2015
2,腾讯科技(武汉)有限公司,"互联网,软件开发",计算机软硬件技术开发、销售；互联网技术开发；信息技术咨询服务,1000万元,2012
3,武汉达梦数据库有限公司,"数据库,软件",数据库管理系统软件、数据集成软件、数据治理软件的研发、销售及技术服务,7050万元,2000
4,小米科技(武汉)有限公司,"互联网,智能硬件",移动互联网技术开发、智能硬件研发、软件开发、信息技术服务,20000万元,2017
5,武汉木仓科技股份有限公司,"互联网,人工智能,大数据",互联网信息服务、软件开发、人工智能应用开发、大数据分析,3000万元,2014
6,武汉奇安信科技有限公司,"网络安全,人工智能",网络安全技术开发、信息安全服务、软件开发、人工智能应用开发,5000万元,2019
7,武汉深信服科技有限公司,"网络安全,云计算",网络安全产品研发、云计算服务、虚拟化技术、软件开发,1000万元,2019
8,武汉绿盟科技有限公司,"网络安全,信息技术",网络安全产品研发、信息安全服务、信息技术咨询服务,1000万元,2020
9,武汉金山软件有限公司,"软件开发,互联网",办公软件开发、云服务、互联网技术开发、信息技术服务,5000万元,2018
10,武汉百纳信息科技有限公司,"软件开发,移动互联网",移动互联网应用开发、软件开发、信息技术咨询服务,1000万元,2010
11,武汉光谷软件园科技有限公司,"软件开发,信息技术",软件园区运营、信息技术服务、企业孵化、软件开发,2000万元,2016
12,武汉软通动力信息技术有限公司,"软件开发,信息技术",软件外包、信息技术服务、系统集成、企业数字化转型,5000万元,2010
13,武汉中软国际科技有限公司,"软件开发,信息技术",软件外包、信息技术服务、云计算解决方案、软件开发,3000万元,2012
14,武汉文思海辉信息技术有限公司,"软件开发,信息技术",软件外包、数字化咨询、信息技术服务、软件开发,2000万元,2013
15,武汉博彦科技信息技术有限公司,"软件开发,信息技术",软件测试、信息技术服务、软件开发、数据分析,1000万元,2015
16,武汉诚迈科技有限公司,"软件开发,嵌入式",嵌入式软件开发、移动终端软件、智能座舱软件、信息技术服务,2000万元,2014
17,武汉中科软科技有限公司,"软件开发,信息技术",保险行业软件、信息技术服务、软件开发、系统集成,1000万元,2016
18,武汉用友网络科技有限公司,"软件开发,SaaS",企业ERP软件、财务管理软件、SaaS服务、信息技术咨询,3000万元,2013
19,武汉金蝶软件有限公司,"软件开发,SaaS",企业管理软件、云ERP服务、财务软件、信息技术咨询,2000万元,2014
20,武汉启明星辰信息技术有限公司,"网络安全,软件开发",网络安全产品研发、信息安全服务、软件开发、信息技术咨询,1000万元,2017
21,武汉易思达科技有限公司,"软件开发,信息技术",软件开发、信息技术咨询、计算机系统集成、数据处理,500万元,2018
22,武汉数梦科技有限公司,"软件开发,大数据",政务大数据平台开发、软件开发、信息技术服务、数据治理,1000万元,2017
23,武汉慧联无限科技有限公司,"物联网,软件开发",物联网平台开发、软件开发、信息技术服务、智能硬件,1500万元,2016
24,武汉极意网络科技有限公司,"互联网,软件开发",互联网验证服务、软件开发、信息技术咨询、数据安全,1000万元,2015
25,武汉梦芯科技有限公司,"软件开发,信创",信创软件开发、国产操作系统适配、信息技术服务,800万元,2019
26,武汉佰钧成技术有限责任公司,"软件开发,信息技术",软件外包、信息技术服务、软件开发、系统集成,500万元,2011
27,武汉光谷创意产业投资有限公司,"互联网,软件开发",创意产业投资、互联网技术开发、软件服务、企业孵化,5000万元,2015
28,武汉微果网络科技有限公司,"互联网,软件开发",互联网应用开发、软件开发、信息技术咨询、数字营销,500万元,2018
29,武汉青藤信息技术有限公司,"网络安全,软件开发",网络安全技术开发、软件开发、信息技术服务、数据安全,800万元,2017
30,武汉天耀软件有限公司,"软件开发,信息技术",企业管理软件开发、信息技术咨询、系统集成,300万元,2012
31,武汉云途信息技术有限公司,"云计算,SaaS",云计算服务、SaaS平台开发、信息技术咨询、软件开发,1000万元,2018
32,武汉微擎网络科技有限公司,"SaaS,软件开发",SaaS平台运营、软件开发、互联网技术服务、小程序开发,500万元,2019
33,武汉有赞网络科技有限公司,"SaaS,电子商务",电商SaaS服务、软件开发、互联网技术服务、数字营销,1000万元,2018
34,武汉纷享销客科技有限公司,"SaaS,软件开发",CRM软件服务、SaaS平台开发、信息技术咨询,1000万元,2017
35,武汉明源云科技有限公司,"SaaS,软件开发",地产行业SaaS、软件开发、数字化转型咨询、信息技术服务,2000万元,2016
36,武汉拓维信息系统有限公司,"软件开发,信息技术",教育信息化、软件开发、系统集成、信息技术服务,1000万元,2015
37,武汉视源电子科技有限公司,"软件开发,智能硬件",智能交互平板软件、软件开发、信息技术服务,2000万元,2017
38,武汉全通教育信息技术有限公司,"软件开发,教育信息化",教育信息化平台、软件开发、信息技术咨询、在线教育,1000万元,2014
39,武汉超图软件有限公司,"软件开发,GIS",GIS软件开发、地理信息系统、空间数据服务、信息技术咨询,800万元,2016
40,武汉中地数码科技有限公司,"软件开发,GIS",MapGIS平台开发、地理信息系统、国土资源信息化、软件开发,1000万元,2005
41,武汉长城信息系统有限公司,"系统集成,信息技术",信息系统集成、信息技术服务、软件开发、网络安全,2000万元,2010
