id,company_name,industry_tags,business_scope,registered_capital,established_date,total_score,rating_level,tech_score,funding_score,intent_score,team_score,industry_score,ai_job_ratio,cloud_provider,has_github_org,has_tech_blog,hire_count,news_count,dig_bid_count
85,武汉浪潮信息技术有限公司,"['云计算', '信息技术']",云计算服务器、大数据平台、信息技术服务、系统集成,3000万元,2015-01-01,52,B,8,5,28,5,6,0.0000,,False,False,8,7,1
71,武汉明源云科技有限公司,"['SaaS', '软件开发']",地产行业SaaS、软件开发、数字化转型咨询、信息技术服务,2000万元,2016-01-01,47,B,8,5,25,5,4,0.0000,,False,False,8,7,1
41,武汉木仓科技股份有限公司,"['互联网', '人工智能', '大数据']",互联网信息服务、软件开发、人工智能应用开发、大数据分析,3000万元,2014-01-01,44,B,10,5,18,5,6,0.2000,,False,False,12,8,1
43,武汉深信服科技有限公司,"['网络安全', '云计算']",网络安全产品研发、云计算服务、虚拟化技术、软件开发,1000万元,2019-01-01,42,B,8,5,18,5,6,0.0000,,False,False,10,6,1
49,武汉中软国际科技有限公司,"['软件开发', '信息技术']",软件外包、信息技术服务、云计算解决方案、软件开发,3000万元,2012-01-01,40,B,8,5,18,5,4,0.0000,,False,False,10,14,1
67,武汉云途信息技术有限公司,"['云计算', 'SaaS']",云计算服务、SaaS平台开发、信息技术咨询、软件开发,1000万元,2018-01-01,40,B,8,5,18,5,4,0.0000,,False,False,10,7,1
83,武汉神州数码信息系统有限公司,"['系统集成', '信息技术']",信息系统集成、IT产品分销、云计算服务、信息技术咨询,3000万元,2012-01-01,40,B,8,5,18,5,4,0.0000,,False,False,6,7,1
86,武汉中科曙光信息技术有限公司,"['云计算', '信息技术']",高性能计算、云计算服务、信息技术咨询、系统集成,2000万元,2016-01-01,40,B,8,5,23,0,4,0.0000,,False,False,4,5,1
42,武汉奇安信科技有限公司,"['网络安全', '人工智能']",网络安全技术开发、信息安全服务、软件开发、人工智能应用开发,5000万元,2019-01-01,39,C,10,8,10,5,6,0.2000,,False,False,10,7,0
48,武汉软通动力信息技术有限公司,"['软件开发', '信息技术']",软件外包、信息技术服务、系统集成、企业数字化转型,5000万元,2010-01-01,37,C,5,8,15,5,4,0.0000,,False,False,8,8,1
