id,company_name,industry_tags,business_scope,registered_capital,established_year
1,武汉旷视金智科技有限公司,"人工智能,计算机视觉",人工智能技术开发、计算机视觉、人脸识别、技术咨询,1000万元,2019
2,武汉海康威视数字技术有限公司,"人工智能,安防",智能安防产品、视频分析算法、人工智能应用开发、数字技术,5000万元,2018
3,武汉商汤智能科技有限公司,"人工智能,计算机视觉",计算机视觉、深度学习平台、人工智能应用开发、智慧城市,2000万元,2019
4,武汉云从科技有限公司,"人工智能,计算机视觉",人工智能算法、人机协同平台、计算机视觉、智慧治理,1000万元,2018
5,武汉依图科技有限公司,"人工智能,计算机视觉",人工智能算法、计算机视觉、语音识别、智慧医疗,1000万元,2019
6,武汉地平线机器人技术研发有限公司,"人工智能,芯片",AI芯片设计、自动驾驶算法、人工智能技术开发,2000万元,2019
7,武汉科大讯飞科技有限公司,"人工智能,语音识别",语音识别、自然语言处理、人工智能应用开发、智慧教育,3000万元,2018
8,武汉虹旭微电子科技有限公司,"人工智能,芯片",AI芯片设计、人工智能硬件、集成电路设计,1000万元,2017
9,武汉声智科技有限公司,"人工智能,语音识别",语音交互技术、声学信号处理、人工智能应用开发,500万元,2019
10,武汉智慧流信息技术有限公司,"人工智能,教育",AI教育产品、智能题库、自然语言处理、软件开发,1000万元,2018
11,武汉智能云客科技有限公司,"人工智能,客服",AI客服系统、自然语言处理、语音识别、智能外呼,500万元,2019
12,武汉语忆科技有限公司,"人工智能,NLP",自然语言处理、文本分析、语音情感识别、人工智能应用,500万元,2020
13,武汉聆度科技有限公司,"人工智能,语音识别",语音识别、声纹识别、语音合成、人工智能技术开发,300万元,2020
14,武汉言图科技有限公司,"人工智能,计算机视觉",图文识别、OCR技术、文档智能处理、人工智能应用,500万元,2019
15,武汉文心智联科技有限公司,"人工智能,NLP",自然语言处理、知识图谱、智能问答、人工智能应用开发,500万元,2020
16,武汉第四范式科技有限公司,"人工智能,机器学习",机器学习平台、AutoML、企业AI中台、数据科学,1000万元,2019
17,武汉趋动信息技术有限公司,"人工智能,云计算",AI算力池化、GPU虚拟化、云计算服务、人工智能基础设施,1000万元,2020
18,武汉智谱华章科技有限公司,"人工智能,大模型",大语言模型、知识图谱、AI推理、人工智能应用开发,1000万元,2021
19,武汉澜舟科技有限公司,"人工智能,大模型",大语言模型、自然语言理解、AI生成技术、知识问答,500万元,2022
20,武汉面壁智能科技有限公司,"人工智能,大模型",大模型训练优化、AI推理引擎、高效AI部署,500万元,2022
21,武汉潞晨科技有限公司,"人工智能,大模型",大模型训练系统、分布式训练、AI基础设施,500万元,2022
22,武汉生数科技有限公司,"人工智能,多模态",多模态生成、AI视频生成、视觉大模型、人工智能应用,500万元,2023
23,武汉阶跃星辰科技有限公司,"人工智能,大模型",大语言模型、多模态AI、智能推理、AI应用开发,500万元,2023
24,武汉旷视天工科技有限公司,"人工智能,计算机视觉",计算机视觉、物体检测、图像识别、人工智能应用,500万元,2020
25,武汉视源创新科技有限公司,"人工智能,计算机视觉",智能视觉分析、视频结构化、图像识别、软件开发,500万元,2019
26,武汉瑞立科达人工智能有限公司,"人工智能,自动驾驶",自动驾驶算法、感知融合、人工智能技术开发、智能控制,1000万元,2020
27,武汉星思半导体有限公司,"人工智能,芯片",AI芯片设计、5G基带芯片、人工智能硬件、集成电路设计,5000万元,2020
28,武汉深动科技有限公司,"人工智能,自动驾驶",自动驾驶感知算法、计算机视觉、人工智能应用开发,1000万元,2019
29,武汉览山科技有限公司,"人工智能,计算机视觉",三维视觉重建、SLAM技术、机器人视觉、人工智能应用,500万元,2020
30,武汉数澜科技有限公司,"大数据,数据中台",数据中台、大数据平台、数据治理、数据分析服务,1000万元,2018
31,武汉袋鼠云科技有限公司,"大数据,数据可视化",数据可视化、大数据平台、数字孪生、数据分析,1000万元,2018
32,武汉数联铭品科技有限公司,"大数据,商业智能",商业智能、数据分析、大数据平台、数据可视化,500万元,2017
33,武汉观远数据信息技术有限公司,"大数据,BI",BI分析平台、数据可视化、预测分析、大数据服务,500万元,2019
34,武汉神策数据信息技术有限公司,"大数据,数据分析",用户行为分析、数据分析平台、大数据服务、数据治理,500万元,2018
35,武汉GrowingIO数据技术有限公司,"大数据,数据分析",用户行为分析、增长分析、数据分析平台、大数据服务,500万元,2018
36,武汉诸葛IO数据技术有限公司,"大数据,数据分析",用户分析平台、数据分析、大数据服务、营销分析,500万元,2017
37,武汉个推数据技术有限公司,"大数据,推送服务",推送服务、数据分析、用户画像、大数据平台,1000万元,2016
38,武汉热云数据技术有限公司,"大数据,游戏分析",游戏数据分析、移动归因、大数据服务、反欺诈,500万元,2016
39,武汉数据客科技有限公司,"大数据,数据分析",数据分析、数据挖掘、大数据平台、商业智能,300万元,2019
40,武汉烽火众智数字技术有限责任公司,"人工智能,智慧城市",智慧城市解决方案、人工智能应用、大数据分析、数字政府,2000万元,2018
41,武汉中信科移动通信技术有限责任公司,"通信,人工智能",移动通信技术、人工智能应用、物联网、智慧城市,10000万元,2020
42,武汉华宇国润科技有限公司,"人工智能,智慧城市",智慧城市运营、人工智能应用、大数据分析、数字孪生,1000万元,2019
43,武汉城市大脑科技有限公司,"人工智能,智慧城市",城市大脑平台、人工智能应用、大数据分析、智慧治理,2000万元,2020
44,武汉数字政通科技有限公司,"大数据,数字政府",数字政务平台、城市治理信息化、大数据分析、GIS应用,1000万元,2018
45,武汉智汇谷科技有限公司,"人工智能,智慧城市",智慧园区、人工智能应用、物联网平台、大数据分析,1000万元,2019
46,武汉推想医疗科技有限公司,"人工智能,医疗",AI医疗影像、疾病辅助诊断、人工智能应用开发、医疗大数据,1000万元,2019
47,武汉汇医慧影科技有限公司,"人工智能,医疗",AI医学影像分析、智能诊断、医疗大数据、人工智能应用,500万元,2018
48,武汉森亿智能科技有限公司,"人工智能,医疗",AI病历结构化、临床决策支持、医疗NLP、人工智能应用,500万元,2019
49,武汉长木谷医疗科技有限公司,"人工智能,医疗",AI骨科手术规划、医学影像AI、人工智能应用开发,500万元,2020
50,武汉智慧教育科技有限公司,"人工智能,教育",AI教育平台、智能批改、个性化推荐、教育大数据,1000万元,2018
51,武汉松鼠AI教育科技有限公司,"人工智能,教育",AI自适应学习、智适应教育、人工智能应用开发,1000万元,2019
52,武汉晓多智能科技有限公司,"人工智能,客服",AI客服机器人、多轮对话、自然语言处理、智能工单,500万元,2019
53,武汉智融科技有限公司,"人工智能,金融",AI风控、智能投顾、金融大数据、人工智能应用开发,500万元,2019
54,武汉冰鉴信息科技有限公司,"人工智能,金融",AI信用评估、智能风控、金融大数据分析、人工智能应用,500万元,2018
55,武汉百融云创科技有限公司,"人工智能,金融",金融AI服务、智能风控、大数据分析、人工智能应用,1000万元,2019
56,武汉创新维渡科技有限公司,"人工智能,工业",工业AI检测、智能质检、计算机视觉、人工智能应用,500万元,2019
57,武汉阿丘科技有限公司,"人工智能,工业视觉",工业视觉检测、AI质检、缺陷检测、人工智能应用,500万元,2019
58,武汉感图科技有限公司,"人工智能,工业视觉",工业视觉检测、AI外观检测、智能制造、人工智能应用,500万元,2020
59,武汉梅卡曼德机器人科技有限公司,"人工智能,机器人",AI+3D视觉、工业机器人、智能分拣、人工智能应用,1000万元,2019
60,武汉灵西机器人科技有限公司,"人工智能,机器人",3D视觉引导、智能拆码垛、工业AI、人工智能应用,500万元,2020
61,武汉一流科技有限公司,"人工智能,深度学习",深度学习框架、AI开发平台、模型训练、人工智能基础设施,1000万元,2020
62,武汉矩池云科技有限公司,"人工智能,云计算",GPU云算力、AI训练平台、云计算服务、人工智能基础设施,500万元,2020
63,武汉趋动科技有限公司,"人工智能,算力",AI算力调度、GPU池化、人工智能基础设施、云计算服务,1000万元,2020
64,武汉智星一源科技有限公司,"人工智能,算法",AI算法服务、推荐系统、搜索引擎优化、人工智能应用,500万元,2019
65,武汉算法星球科技有限公司,"人工智能,算法",AI算法竞赛平台、模型评测、人工智能社区、数据标注,300万元,2020
66,武汉文因互联科技有限公司,"人工智能,知识图谱",知识图谱构建、NLP、智能文档处理、人工智能应用,500万元,2019
67,武汉明略数据科技有限公司,"人工智能,知识图谱",知识图谱、行业AI、数据分析、人工智能应用开发,1000万元,2018
68,武汉星环信息科技有限公司,"大数据,数据分析",大数据平台、分布式计算、数据分析、数据治理,1000万元,2017
69,武汉数美科技有限公司,"人工智能,内容安全",AI内容审核、图像识别、文本审核、人工智能应用,500万元,2019
70,武汉云测数据技术有限公司,"人工智能,数据标注",AI数据标注、数据采集、数据清洗、训练数据服务,500万元,2019
71,武汉倍赛数据技术有限公司,"人工智能,数据标注",数据标注平台、AI训练数据、数据采集、数据管理,500万元,2019
72,武汉数之联科技有限公司,"大数据,制造业",制造业大数据、质量分析、数据分析平台、人工智能应用,1000万元,2018
73,武汉国双科技有限公司,"大数据,数字营销",营销大数据、程序化广告、数据分析、人工智能应用,1000万元,2017
74,武汉汇量数据技术有限公司,"大数据,广告技术",广告大数据、移动数据分析、用户画像、大数据平台,1000万元,2017
75,武汉智步数据技术有限公司,"大数据,体育",体育大数据、赛事数据分析、运动AI、数据可视化,300万元,2019
76,武汉链数科技有限公司,"大数据,区块链",区块链数据服务、链上数据分析、大数据平台、数据可视化,500万元,2020
77,武汉灵伴科技有限公司,"人工智能,AR/VR",AR/VR技术、空间计算、人工智能应用、人机交互,500万元,2020
