id,company_name,industry_tags,business_scope,registered_capital,established_year
1,烽火通信科技股份有限公司,"通信,光通信",光纤通信和相关通信技术、信息技术领域的科技开发；相关高新技术产品设计、制造和销售,128921万元,1999
2,长飞光纤光缆股份有限公司,"通信,光纤光缆",光纤光缆研发生产、通信设备、光通信技术,150000万元,1988
3,武汉光迅科技股份有限公司,"通信,光器件",光通信器件、光模块、通信设备研发制造,18000万元,2001
4,武汉虹信通信技术有限责任公司,"通信,无线通信",无线通信设备、通信网络优化、信息技术服务,5000万元,2007
5,中信科移动通信技术股份有限公司,"通信,5G",移动通信系统设备、5G技术、无线网络,300000万元,2020
6,武汉凡谷电子技术股份有限公司,"通信,射频器件",射频器件、通信天线、微波器件研发制造,27000万元,2002
7,武汉中原电子集团有限公司,"通信,电子",通信设备、电子装备、信息技术产品研发制造,10000万元,2001
8,武汉光谷联合集团有限公司,"通信,产业园区",光谷产业园区运营、科技企业孵化、通信技术服务,50000万元,2010
9,武汉虹信5G技术有限责任公司,"通信,5G",5G基站设备、无线接入网、通信网络优化,3000万元,2019
10,武汉信科移动技术有限公司,"通信,5G",5G核心网、移动通信设备、网络切片技术,5000万元,2020
11,武汉紫光展锐通信技术有限公司,"通信,5G芯片",5G基带芯片、通信SoC、物联网芯片,5000万元,2019
12,武汉鼎桥通信技术有限公司,"通信,5G,物联网",5G行业解决方案、物联网通信、专网设备,3000万元,2020
13,武汉佰才邦通信技术有限公司,"通信,5G",5G微基站、无线通信设备、网络覆盖方案,1000万元,2019
14,武汉创远通信技术有限公司,"通信,5G测试",5G测试仪器、通信测量设备、无线测试方案,1000万元,2019
15,武汉长飞光电线缆有限公司,"通信,光纤光缆",光纤光缆、光通信产品、特种光纤研发制造,5000万元,2018
16,武汉光谷光通信技术有限公司,"通信,光通信",光通信器件、光放大器、光收发模块,1000万元,2016
17,武汉华工正源光子技术有限公司,"通信,光模块",光模块、激光器芯片、光通信器件研发制造,5000万元,2008
18,武汉华工激光工程有限责任公司,"激光,光通信",激光设备、光通信器件加工、激光器研发制造,10000万元,2001
19,武汉安凯电缆有限公司,"通信,光缆",光缆、通信电缆、特种线缆研发制造,2000万元,2015
20,武汉长盈通光电技术股份有限公司,"通信,光纤",特种光纤、光纤环、光通信器件研发制造,3000万元,2011
21,武汉华工图像技术开发有限责任公司,"激光,光电",激光全息、光电技术、防伪技术,1000万元,2005
22,武汉逸飞激光设备有限公司,"激光,制造",激光焊接设备、激光加工、新能源装备,2000万元,2017
23,武汉安恒信息技术有限公司,"网络安全,云计算",网络安全产品、云安全、漏洞扫描、信息技术服务,1000万元,2018
24,武汉天融信科技有限公司,"网络安全,防火墙",防火墙、VPN、入侵检测、网络安全产品,2000万元,2017
25,武汉山石网科通信技术有限公司,"网络安全,防火墙",网络安全防火墙、UTM、云安全、信息技术服务,1000万元,2018
26,武汉安博通科技有限公司,"网络安全,可视安全",网络安全可视化、微隔离、策略管理、信息技术服务,500万元,2019
27,武汉派拉软件技术有限公司,"网络安全,零信任",零信任安全、身份认证、访问控制、信息技术服务,500万元,2019
28,武汉芯盾时代科技有限公司,"网络安全,身份安全",身份安全、零信任架构、移动安全、信息技术服务,500万元,2019
29,武汉观安信息技术有限公司,"网络安全,大数据安全",大数据安全分析、态势感知、网络安全审计、信息技术服务,1000万元,2018
30,武汉六方云科技有限公司,"网络安全,工控安全",工控网络安全、物联网安全、信息技术服务、安全运维,500万元,2019
31,武汉天地和兴科技有限公司,"网络安全,工控安全",工业控制系统安全、工控安全审计、网络安全产品,500万元,2019
32,武汉威努特技术有限公司,"网络安全,工控安全",工控防火墙、工控安全监测、网络安全产品、信息技术服务,500万元,2019
33,武汉锐捷网络技术有限公司,"网络设备,交换机",网络交换机、路由器、无线AP、网络解决方案,2000万元,2017
34,武汉新华三信息技术有限公司,"网络设备,云计算",网络设备、云计算平台、IT基础设施、信息技术服务,5000万元,2017
35,武汉戴尔信息技术有限公司,"网络设备,服务器",服务器、存储设备、网络设备、IT基础设施,3000万元,2018
36,武汉联想信息技术有限公司,"网络设备,服务器",服务器、存储、超融合、IT基础设施服务,3000万元,2017
