id,company_name,industry_tags,business_scope,registered_capital,established_year
1,武汉精伦电子股份有限公司,"电子,智能终端",智能终端设备、电子支付终端、身份证阅读器、智能控制,12000万元,2001
2,武汉华工科技产业股份有限公司,"激光,传感器",激光技术、传感器、光通信器件、新材料研发制造,100000万元,2000
3,武汉高德红外股份有限公司,"电子,红外",红外热像仪、红外探测器、光电系统、精确制导,60000万元,2004
4,武汉国博电子股份有限公司,"电子,微波",微波毫米波器件、射频芯片、通信设备,5000万元,2015
5,武汉新芯集成电路制造有限公司,"芯片,存储",存储芯片制造、闪存、集成电路制造,500000万元,2006
6,武汉芯动科技有限公司,"芯片,IP",芯片IP设计、接口IP、SoC平台、集成电路设计,2000万元,2017
7,武汉聚芯微电子有限公司,"芯片,传感器",智能传感器芯片、MEMS传感器、集成电路设计,1000万元,2018
8,武汉敏声微电子技术有限公司,"芯片,滤波器",射频滤波器芯片、声表面波器件、集成电路设计,1000万元,2019
9,武汉二进制半导体有限公司,"芯片,处理器",处理器芯片设计、RISC-V、SoC设计、集成电路设计,1000万元,2020
10,武汉微纳核芯科技有限公司,"芯片,物联网",物联网芯片设计、低功耗MCU、传感器接口芯片,500万元,2020
11,武汉泰吉半导体有限公司,"芯片,存储",存储控制器芯片、SSD主控、闪存管理、集成电路设计,1000万元,2019
12,武汉长芯盛科技有限公司,"芯片,光通信",光通信芯片、硅光芯片、光电集成、集成电路设计,2000万元,2018
13,武汉飞思灵微电子有限公司,"芯片,通信",通信基带芯片、信号处理芯片、集成电路设计,1000万元,2019
14,武汉敏芯微电子技术有限公司,"芯片,MEMS",MEMS传感器芯片、微流控芯片、集成电路设计,500万元,2018
15,武汉芯海科技有限公司,"芯片,ADC",高精度ADC芯片、信号链芯片、传感器芯片,1000万元,2019
16,武汉思瑞浦微电子科技有限公司,"芯片,模拟",模拟集成电路、高精度运放、电源管理芯片,1000万元,2019
17,武汉纳芯微电子科技有限公司,"芯片,传感器接口",传感器信号调理芯片、隔离芯片、集成电路设计,500万元,2020
18,武汉赛昉科技有限公司,"芯片,RISC-V",RISC-V处理器IP、SoC平台、开源芯片生态,1000万元,2020
19,武汉长江存储科技有限公司,"芯片,存储",3D NAND闪存、存储芯片制造、集成电路制造,1000000万元,2016
20,武汉弘芯半导体制造有限公司,"芯片,制造",晶圆制造、半导体工艺、集成电路制造,500000万元,2019
21,武汉越微半导体有限公司,"芯片,封测",芯片封装测试、先进封装、集成电路封测,2000万元,2018
22,武汉鼎龙控股股份有限公司,"芯片,材料",CMP抛光垫、半导体材料、电子化学品,10000万元,2010
23,武汉兴福电子材料有限公司,"芯片,材料",电子级硫酸、半导体湿电子化学品、材料研发,5000万元,2016
24,武汉迪源光电科技有限公司,"芯片,LED",LED芯片、功率器件、化合物半导体,3000万元,2015
25,武汉华灿光电股份有限公司,"芯片,LED",LED芯片、氮化镓器件、化合物半导体,50000万元,2011
26,武汉华星光电技术有限公司,"显示面板,LCD",液晶面板、OLED面板、显示模组研发制造,2000000万元,2014
27,武汉天马微电子有限公司,"显示面板,OLED",OLED面板、车载显示、专业显示模组研发制造,500000万元,2008
28,武汉京东方光电科技有限公司,"显示面板,LCD",液晶面板、智慧显示、物联网显示、信息技术服务,1000000万元,2016
29,武汉维信诺科技有限公司,"显示面板,OLED",AMOLED面板、柔性显示、显示驱动芯片,500000万元,2020
30,武汉默克电子材料有限公司,"显示面板,材料",显示材料、液晶材料、OLED材料、电子化学品,5000万元,2017
31,武汉凡谷射频器件有限公司,"电子,射频",射频器件、微波器件、通信天线研发制造,2000万元,2017
32,武汉光谷微电子有限公司,"电子,元器件",电子元器件、集成电路、微电子技术,1000万元,2015
