id,company_name,industry_tags,business_scope,registered_capital,established_year
1,博格华纳汽车零部件（武汉）有限公司,"汽车零部件,智能制造",汽车零部件、传动系统、智能制造、电驱动系统,5000万美元,2005
2,东风汽车集团有限公司,"汽车,智能制造",整车制造、智能网联汽车、新能源汽车、智能制造,1560000万元,1969
3,武汉华中数控股份有限公司,"智能制造,数控",数控系统、工业机器人、智能制造装备,20000万元,2002
4,武汉智能装备工业技术研究院有限公司,"智能制造,装备",智能制造装备研发、工业技术、智能工厂方案,3000万元,2016
5,武汉埃斯顿机器人有限公司,"机器人,智能制造",工业机器人、伺服系统、智能制造装备,2000万元,2018
6,武汉汇博科技有限公司,"机器人,智能制造",工业机器人、自动化装备、智能制造解决方案,1000万元,2017
7,武汉金石机器人有限公司,"机器人,智能制造",工业机器人、焊接机器人、智能制造装备,1000万元,2016
8,武汉国自机器人技术有限公司,"机器人,巡检",巡检机器人、智能巡检、工业自动化,500万元,2018
9,武汉博实机器人有限公司,"机器人,智能制造",工业机器人、自动化生产线、智能制造,1000万元,2019
10,武汉钱江机器人有限公司,"机器人,智能制造",工业机器人、六轴机器人、智能制造装备,1000万元,2018
11,武汉遨博智能科技有限公司,"机器人,协作",协作机器人、人机协作、智能制造装备,500万元,2019
12,武汉珞石机器人有限公司,"机器人,协作",协作机器人、轻载机器人、智能制造,500万元,2019
13,武汉新松机器人有限公司,"机器人,智能制造",工业机器人、移动机器人、智能制造装备,2000万元,2018
14,武汉中控技术有限公司,"自动化,DCS",工业DCS系统、PLC、工业自动化控制,2000万元,2016
15,武汉和利时自动化有限公司,"自动化,DCS",工业DCS系统、PLC、智能工厂控制,3000万元,2015
16,武汉汇川技术股份有限公司,"自动化,伺服",伺服系统、变频器、PLC、工业自动化,2000万元,2017
17,武汉信捷电气有限公司,"自动化,PLC",PLC、人机界面、工业自动化控制,1000万元,2017
18,武汉正航电气有限公司,"自动化,变频",变频器、伺服驱动、工业自动化控制,500万元,2016
19,武汉麦格米特电气股份有限公司,"自动化,电源",工业电源、变频器、智能制造装备,3000万元,2015
20,武汉华天软件有限公司,"工业软件,CAD",CAD/CAE软件、三维设计、PLM系统,1000万元,2018
21,武汉开目信息技术股份有限公司,"工业软件,CAPP",CAPP/MPM软件、工艺管理、智能制造软件,1000万元,2006
22,武汉益造软件有限公司,"工业软件,MES",MES系统、制造执行、工业软件开发,500万元,2018
23,武汉橙智云科技有限公司,"工业软件,数字孪生",数字孪生平台、工业仿真、智能制造软件,500万元,2020
24,武汉优也信息科技有限公司,"工业软件,能效",工业能效优化、工艺优化、智能制造软件,500万元,2019
25,武汉天泽智云科技有限公司,"工业软件,PHM",设备预测性维护、PHM系统、工业AI,500万元,2020
26,武汉寄云科技有限公司,"工业软件,工业互联网",工业互联网平台、设备运维、数据分析,1000万元,2019
27,武汉快仓机器人科技有限公司,"智能物流,机器人",仓储机器人、智能分拣系统、智慧物流,1000万元,2019
28,武汉旷视物流科技有限公司,"智能物流,AI",AI物流解决方案、智慧仓储、供应链优化,1000万元,2020
29,武汉未来机器人有限公司,"智能物流,无人叉车",无人叉车、视觉导航、智能仓储,1000万元,2019
30,武汉蓝胖子机器人有限公司,"智能物流,分拣",智能分拣机器人、包裹处理、智慧物流,500万元,2020
31,武汉灵动科技有限公司,"智能物流,AMR",AMR移动机器人、柔性物流、智慧仓储,500万元,2020
32,武汉斯坦德机器人有限公司,"智能物流,AMR",AMR机器人、工业物流、智能制造,500万元,2020
33,武汉华中科大安能信息技术有限公司,"智能制造,数字工厂",数字化工厂、工业互联网、智能制造解决方案,1000万元,2017
34,武汉光谷微创新科技有限公司,"智能制造,创新",智能制造创新服务、技术咨询、产业孵化,1000万元,2018
35,武汉中科创新技术有限公司,"智能制造,绿色制造",绿色制造、智能制造技术、工业节能,500万元,2019
36,武汉智能云制造有限公司,"智能制造,云制造",云制造平台、智能制造服务、工业SaaS,1000万元,2019
37,武汉凌云光电技术有限公司,"激光,智能制造",激光加工装备、激光焊接、智能制造,2000万元,2016
38,武汉华工图像技术有限责任公司,"激光,防伪",激光全息防伪、数字水印、智能制造,1000万元,2005
39,武汉微觉微技术有限公司,"机器视觉,检测",工业视觉检测、AOI设备、智能质检,500万元,2018
40,武汉创科视觉科技有限公司,"机器视觉,3D检测",3D视觉检测、工业测量、智能质检,500万元,2019
41,武汉图漾科技有限公司,"机器视觉,3D相机",3D工业相机、深度视觉、机器视觉,500万元,2019
42,武汉国力通达智能装备有限公司,"智能制造,装备",智能装配线、自动化装备、智能制造方案,1000万元,2017
43,武汉奋进智能机械有限公司,"智能制造,装备",智能机械装备、自动化产线、工业机器人集成,1000万元,2015
44,武汉威杜科技有限公司,"智能制造,专机",非标自动化装备、智能专机、工业自动化,500万元,2016
45,武汉海尔数字科技有限公司,"工业互联网,COSMOPlat",COSMOPlat工业互联网、大规模定制、智能制造,2000万元,2019
46,武汉用友精智工业互联网有限公司,"工业互联网,ERP",工业互联网平台、ERP云服务、智能制造,1000万元,2019
47,武汉金蝶工业互联网有限公司,"工业互联网,ERP",工业互联网平台、企业云服务、智能制造,1000万元,2019
48,武汉徐工汉云信息技术有限公司,"工业互联网,工程机械",工业互联网平台、工程机械互联、远程运维,1000万元,2020
49,武汉卡奥斯工业互联网有限公司,"工业互联网,智能制造",工业互联网平台、智能制造、数字化工厂,1000万元,2020
50,武汉国电南自有限公司,"电力自动化,智能制造",电力自动化、智能电网、变电站自动化,5000万元,2008
51,武汉许继电气有限公司,"电力自动化,智能制造",电力装备、智能电网、继电保护,3000万元,2010
52,武汉四方继保工程技术有限公司,"电力自动化,继电保护",继电保护装置、变电站自动化、智能电网,2000万元,2012
53,武汉积成电子有限公司,"电力自动化,配网",配网自动化、电力物联网、智能电网,1000万元,2015
54,武汉南瑞继保电气有限公司,"电力自动化,保护",电力保护设备、柔性输电、智能电网,2000万元,2016
55,武汉智芯微电子科技有限公司,"电力物联网,芯片",电力物联网芯片、智能电表芯片、嵌入式开发,1000万元,2019
56,武汉广联达科技有限公司,"BIM,建筑信息化",BIM平台、工程造价软件、建筑信息化,2000万元,2017
57,武汉品茗股份有限公司,"BIM,智慧工地",智慧工地、BIM施工、建筑信息化,1000万元,2016
58,武汉鲁班软件有限公司,"BIM,造价",工程造价软件、BIM模型、建筑信息化,1000万元,2015
59,武汉海迈科技有限公司,"BIM,智慧建造",智慧建造平台、BIM应用、建筑信息化,500万元,2018
60,武汉中设数字技术有限公司,"BIM,设计",BIM设计软件、建筑数字化、工程协同,500万元,2019
61,武汉安恒科技有限公司,"工业安全,监测",工业安全监测、环境监测、智能预警,500万元,2018
62,武汉天耀环保科技有限公司,"工业环保,监测",环境监测设备、污染源监控、智慧环保,500万元,2017
63,武汉力源信息科技有限公司,"工业安全,防爆",防爆电器、工业安全设备、智能监控,500万元,2015
64,武汉观为技术软件有限公司,"预测性维护,大数据",设备预测性维护、大数据分析、工业AI,500万元,2019
65,武汉荣邦科技有限公司,"工业运维,远程监控",工业远程运维、设备监控、云平台服务,500万元,2018
66,武汉特来电新能源有限公司,"新能源,充电桩",智能充电桩、充电网络运营、物联网,3000万元,2017
67,武汉星星充电科技有限公司,"新能源,充电桩",智能充电设备、充电运营平台、物联网,2000万元,2019
68,武汉亿纬锂能股份有限公司,"新能源,电池",锂电池、储能系统、智能制造,10000万元,2001
69,武汉国轩高科动力能源有限公司,"新能源,电池",动力电池、储能电池、智能制造,5000万元,2019
70,武汉孚能科技有限公司,"新能源,电池",动力电池、软包电池、智能制造,3000万元,2020
71,武汉智慧交通科技有限公司,"智能交通,大数据",智慧交通、交通大数据、信号优化,1000万元,2018
72,武汉千方科技有限公司,"智能交通,车路协同",智慧交通、车路协同、交通大数据,2000万元,2019
73,武汉金溢科技股份有限公司,"智能交通,ETC",ETC设备、智能收费、车路协同,1000万元,2017
74,武汉万集科技股份有限公司,"智能交通,V2X",V2X设备、激光雷达、智能交通,1000万元,2018
75,武汉易华录信息技术有限公司,"智能交通,数据湖",交通数据湖、智慧交通、城市大脑,2000万元,2018
76,武汉大禹水务科技有限公司,"智慧水务,物联网",智慧水务、水务物联网、水处理自控,500万元,2018
77,武汉力源水务科技有限公司,"智慧水务,SCADA",水务SCADA、管网监测、智慧水务,500万元,2017
78,武汉华信数据科技有限公司,"智慧水务,大数据",水务大数据、智慧运营、数据分析,500万元,2019
79,武汉迈威科技有限公司,"智能矿山,通信",矿山通信、井下人员定位、智能矿山,500万元,2017
80,武汉迪迈智能科技有限公司,"智能矿山,3D",矿山三维设计、数字矿山、智能采矿,500万元,2018
81,武汉中钢安环科技有限公司,"智能矿山,安全",矿山安全监测、智能通风、预警系统,500万元,2016
82,武汉极目科技有限公司,"智慧农业,无人机",农业无人机、植保机器人、智慧农业,1000万元,2019
83,武汉丰普科技有限公司,"智慧农业,物联网",农业物联网、智能灌溉、农业大数据,500万元,2018
84,武汉绿领科技有限公司,"智慧农业,大数据",农业大数据、精准农业、智慧种植,500万元,2019
85,武汉安世亚太科技有限公司,"工业仿真,CAE",CAE仿真、结构分析、流体仿真,1000万元,2017
86,武汉海基嘉远科技有限公司,"工业仿真,电磁",电磁仿真、射频仿真、SI/PI分析,500万元,2018
87,武汉同轴科技有限公司,"工业仿真,CFD",CFD仿真软件、热仿真、流体分析,500万元,2019
88,武汉优飞科技有限公司,"工业仿真,数字孪生",数字孪生、三维仿真、工艺仿真,500万元,2020
89,武汉博世力士乐传动有限公司,"智能制造,传动",传动与控制技术、液压系统、智能制造,3000万元,2018
90,武汉西门子数控系统有限公司,"智能制造,数控",数控系统、运动控制、智能制造装备,2000万元,2017
91,武汉发那科机器人有限公司,"机器人,数控",工业机器人、数控系统、智能制造集成,2000万元,2018
92,武汉ABB机器人有限公司,"机器人,智能制造",工业机器人、离散自动化、智能制造,2000万元,2018
93,武汉施耐德电气有限公司,"自动化,配电",配电设备、工业自动化、能效管理,2000万元,2017
94,武汉威胜电子有限公司,"智能仪表,电能表",智能电能表、用电信息采集、物联网终端,1000万元,2016
95,武汉奥特梅威光电有限公司,"智能仪表,流量",流量仪表、过程控制、智能变送器,500万元,2015
96,武汉优利德科技有限公司,"智能仪表,测试",电子测试仪表、万用表、示波器,500万元,2017
97,武汉华工图像技术开发有限公司,"智能包装,防伪",激光全息防伪包装、智能标签、数字印刷,1000万元,2005
98,武汉雅弘智能包装有限公司,"智能包装,自动化",智能包装产线、自动化包装、印刷设备,500万元,2018
99,武汉国联质检科技有限公司,"智能检测,质量",第三方检测、质量大数据、智能质检,500万元,2018
100,武汉磐云科技有限公司,"智能检测,无损",无损检测设备、工业CT、智能检测,500万元,2019
