company_name,credit_code,legal_rep,address,established,capital,source
博格华纳汽车零部件（武汉）有限公司,91420100MA4KXAHK1Q,STEFAN DEMMERLE,武汉蔡甸经济开发区花园湾一街51号,2017-12-14,,baike
东风汽车集团有限公司,,"杨青<sup>39</sup><a name=""ref_39","湖北省武汉市武汉经济技术开发区东风大道特1号<sup>39</sup><a name=""ref_39""></a>",,,baike
武汉华中数控股份有限公司,914200006164176058,陈吉红,武汉,1994-10-18,,baike
武汉智能装备工业技术研究院有限公司,,,,,,baike
武汉埃斯顿机器人有限公司,,,,,,
武汉汇博科技有限公司,,,,,,
武汉金石机器人有限公司,,,,,,
武汉国自机器人技术有限公司,,,,,,
武汉博实机器人有限公司,,,,,,
武汉钱江机器人有限公司,,,,,,
武汉遨博智能科技有限公司,,,,,,
武汉珞石机器人有限公司,,,,,,
武汉新松机器人有限公司,,,,,,
武汉中控技术有限公司,,,,,,
武汉和利时自动化有限公司,,,,,,
武汉汇川技术股份有限公司,,,,,,
武汉信捷电气有限公司,,,,,,
武汉正航电气有限公司,,,,,,
武汉麦格米特电气股份有限公司,,,,,,
武汉华天软件有限公司,,,,,,
武汉开目信息技术股份有限公司,91420100731063996T,陈万领,武汉,,,baike
武汉益造软件有限公司,,,,,,
武汉橙智云科技有限公司,,,,,,
武汉优也信息科技有限公司,,,,,,
武汉天泽智云科技有限公司,,,,,,
武汉寄云科技有限公司,,,,,,
武汉快仓机器人科技有限公司,,,,,,
武汉旷视物流科技有限公司,,,,,,
武汉未来机器人有限公司,,,,,,
武汉蓝胖子机器人有限公司,,,,,,
武汉灵动科技有限公司,,,,,,
武汉斯坦德机器人有限公司,,,,,,
武汉华中科大安能信息技术有限公司,,,,,,
武汉光谷微创新科技有限公司,,,,,,
武汉中科创新技术有限公司,,,,,,
武汉智能云制造有限公司,,,,,,
武汉凌云光电技术有限公司,,,,,,
武汉华工图像技术有限责任公司,,,,,,
武汉微觉微技术有限公司,,,,,,
武汉创科视觉科技有限公司,,,,,,
武汉图漾科技有限公司,,,,,,
武汉国力通达智能装备有限公司,,,,,,
武汉奋进智能机械有限公司,,,,,,
武汉威杜科技有限公司,,,,,,
武汉海尔数字科技有限公司,,,,,,
武汉用友精智工业互联网有限公司,,,,,,
武汉金蝶工业互联网有限公司,,,,,,
武汉徐工汉云信息技术有限公司,,,,,,
武汉卡奥斯工业互联网有限公司,,,,,,
武汉国电南自有限公司,,,,,,
武汉许继电气有限公司,,,,,,
武汉四方继保工程技术有限公司,,,,,,
武汉积成电子有限公司,,,,,,
武汉南瑞继保电气有限公司,,何雪峰,武昌区徐东路50号东湖春树里3-1-1301,,,baike
武汉智芯微电子科技有限公司,,,,,,
武汉广联达科技有限公司,,,,,,
武汉品茗股份有限公司,,,,,,
武汉鲁班软件有限公司,,,,,,
武汉海迈科技有限公司,,,,,,
武汉中设数字技术有限公司,,,,,,
武汉安恒科技有限公司,,,,,,
武汉天耀环保科技有限公司,,,,,,
武汉力源信息科技有限公司,,,,,,
武汉观为技术软件有限公司,,,,,,
武汉荣邦科技有限公司,,,,,,
武汉特来电新能源有限公司,,荆凯,武汉市汉阳区,2016-1-13,,baike
武汉星星充电科技有限公司,,,,,,
武汉亿纬锂能股份有限公司,,,,,,
武汉国轩高科动力能源有限公司,,,,,,
武汉孚能科技有限公司,,,,,,
武汉智慧交通科技有限公司,,,,,,
武汉千方科技有限公司,,,,,,
武汉金溢科技股份有限公司,,,,,,
武汉万集科技股份有限公司,,,,,,
武汉易华录信息技术有限公司,,,,,,
武汉大禹水务科技有限公司,,,,,,
武汉力源水务科技有限公司,,,,,,
武汉华信数据科技有限公司,,,,,,
武汉迈威科技有限公司,,,,,,
武汉迪迈智能科技有限公司,,,,,,
武汉中钢安环科技有限公司,,,,,,
武汉极目科技有限公司,,,,,,
武汉丰普科技有限公司,,,,,,baike
武汉绿领科技有限公司,,,,,,
武汉安世亚太科技有限公司,,,,,,
武汉海基嘉远科技有限公司,,,,,,
武汉同轴科技有限公司,,,,,,
武汉优飞科技有限公司,,,,,,
武汉博世力士乐传动有限公司,,,,,,
武汉西门子数控系统有限公司,,,,,,
武汉发那科机器人有限公司,,钱晖,武汉经济技术开发区硃山湖大道256号,2017-5-26,,baike
武汉ABB机器人有限公司,,,,,,
武汉施耐德电气有限公司,,,,,,
武汉威胜电子有限公司,,,,,,
武汉奥特梅威光电有限公司,,,,,,
武汉优利德科技有限公司,,,,,,
武汉华工图像技术开发有限公司,914201007997687145,聂波,武汉,,,baike
武汉雅弘智能包装有限公司,,,,,,
武汉国联质检科技有限公司,,,,,,
武汉磐云科技有限公司,,,,,,
