company_name,credit_code,registered_capital,business_scope,industry_tags,registered_address,funding_stage,total_score,rating_level,tech_score,funding_score,intent_score,team_score,industry_score,demand_tags,sales_pitch,reasoning,crawl_time
武汉光谷信息技术股份有限公司,91420100663491955X,5100万元,地理信息系统、遥感技术服务、软件开发、信息技术咨询服务、计算机系统集成、大数据分析,"信息技术, 软件开发, 大数据",—,B,56,B,15,20,10,5,6,—,—,—,2026-08-04 12:35:18.778131
武汉木仓科技股份有限公司,91420100333569880Q,3000万元,互联网信息服务、软件开发、人工智能应用开发、大数据分析、智能驾驶辅助系统,"互联网, 人工智能, 大数据",—,B,56,B,15,20,10,5,6,—,—,—,2026-08-04 12:35:18.778131
烽火通信科技股份有限公司,914201007146661114,128921万元,光纤通信和相关通信技术、信息技术领域的科技开发；相关高新技术产品设计、制造和销售；系统集成,—,—,—,54,C,0,0,0,0,0,"智能制造, 数据中台, 供应链数字化",助力通信设备龙头打通研发-制造数据，加速数字化转型,技术投入、资金实力、转型意愿、团队规模等数据缺失，按该维度满分的一半计分；行业属于通信技术领域，数字化转型需求强烈，行业匹配度较高。综合得分为54分，处于C等级，建议暂缓或低成本维护。,2026-08-06 14:47:19.895983
武汉创新云计算有限公司,91420100MA4K5A4D6E,8000万元,云计算平台、AI中台、系统集成,"云计算, AI中台, 系统集成",—,—,52,B,10,8,23,5,6,—,—,—,2026-08-06 15:30:23.645408
武汉奇安信科技有限公司,91420100MA4KXNYJ1C,5000万元,网络安全技术开发、信息安全服务、软件开发、人工智能应用开发、云计算技术服务,"网络安全, 人工智能, 云计算",—,A,51,B,15,15,10,5,6,—,—,—,2026-08-04 12:35:18.778131
武汉极智嘉机器人有限公司,91420100MA4KXKQE5R,2000万元,智能机器人研发、人工智能技术开发、自动化系统集成、物联网技术服务、云计算,"人工智能, 机器人, 物联网",—,B,51,B,15,20,10,0,6,—,—,—,2026-08-04 12:35:18.778131
武汉智云科技有限公司,91420100MA4K2X1A3B,5000万元,人工智能软件开发、云计算、大数据分析,"人工智能, 云计算",—,—,49,B,10,8,18,5,8,—,—,—,2026-08-06 15:30:23.645408
武汉长飞光纤光缆股份有限公司,91420100616400222M,75000万元,光纤光缆研发制造、通信技术、信息技术开发、智能网络解决方案、数字化转型服务,"通信技术, 信息技术, 数字化转型",—,B,40,B,10,20,10,0,0,—,—,—,2026-08-04 12:35:18.778131
武汉星辰智能有限公司,91420100MA4K7C6F8G,2000万元,智能安防、物联网、软件开发,"智能安防, 物联网, 软件开发",—,—,37,C,8,5,20,0,4,—,—,—,2026-08-06 15:30:23.645408
光谷数据科技有限公司,91420100MA4K3Y2B4C,1000万元,大数据平台开发、数字化转型咨询,"大数据, 数字化转型",—,—,35,C,8,5,18,0,4,—,—,—,2026-08-06 15:30:23.645408
武汉百域人工智能科技有限公司,91420111MA4L0QBP9Q,3500万元,数字技术服务、信息系统集成服务、互联网数据服务、人工智能应用软件开发、人工智能公共服务平台技术咨询,—,—,—,31,C,10,5,10,0,6,—,—,—,2026-08-06 14:41:49.624568
武汉融芯智能科技有限公司,91420100MABTNX8857,2000万元,人工智能硬件开发、智能控制系统集成、人工智能通用应用系统开发、大数据服务,—,—,—,28,C,10,5,8,0,5,—,—,—,2026-08-06 14:41:49.624568
武汉旷视金智科技有限公司,91420100MA4KXMM02E,1000万元,人工智能技术开发、技术咨询、技术服务；计算机系统集成；软件开发,—,—,—,26,C,10,5,5,0,6,—,—,—,2026-08-06 14:41:49.624568
武汉达梦数据库有限公司,91420100737519378E,7050万元,数据库管理系统软件、数据集成软件、数据治理软件的研发、销售及技术服务；信息系统集成,—,—,—,20,C,5,8,0,5,2,—,—,—,2026-08-06 14:41:49.624568
武汉灿宇未来科技有限公司,91420111MA49RM6Q01,100万元,信息技术咨询服务、软件开发、人工智能基础软件开发、网络技术服务,—,—,—,19,D,10,0,5,0,4,—,—,—,2026-08-06 14:41:49.624568
远光软件(武汉)有限公司,91420100333557392D,500万元,软件开发、信息技术咨询服务、计算机系统集成、大数据分析,—,—,—,17,D,8,0,3,0,6,—,—,—,2026-08-06 14:41:49.624568
武汉斗鱼网络科技有限公司,91420100333437374F,2234万元,网络直播平台运营、互联网技术开发、软件开发、信息技术咨询服务、计算机系统集成,—,—,—,17,D,8,5,0,0,4,—,—,—,2026-08-06 14:41:49.624568
武汉爱迪软件技术有限公司,91420100MA4F3N3H5N,500万元,智慧检务软件产品开发、信息系统集成服务、软件开发、信息技术咨询,—,—,—,17,D,8,0,5,0,4,—,—,—,2026-08-06 14:41:49.624568
武汉大数据产业发展有限公司,—,—,—,大数据,—,—,15,D,0,0,15,0,0,—,—,—,2026-08-06 15:30:23.645408
武汉云端科技有限公司,91420100MA4L0F9I1J,3000万元,云原生开发、DevOps、容器化,"云原生, DevOps",—,—,15,D,0,5,10,0,0,—,—,—,2026-08-06 15:30:23.645408
腾讯科技(武汉)有限公司,91420100584872426J,1000万元,计算机软硬件技术开发、销售；互联网技术开发；信息技术咨询服务；网络游戏开发,—,—,—,10,D,5,5,0,0,0,—,—,—,2026-08-06 14:41:49.624568
武汉华信软件有限公司,91420100MA4K4Z3C5D,300万元,网络工程、硬件销售、监控设备,"网络工程, 硬件",—,—,0,D,0,0,0,0,0,—,—,—,2026-08-06 15:30:23.645408
武汉老牌软件有限公司,91420100MA4L1G0J2K,800万元,传统ERP开发、软件外包,"软件开发, 外包",—,—,0,D,0,0,0,0,0,—,—,—,2026-08-06 15:30:23.645408
