company_name,credit_code,industry_tags,business_scope,rules_score,rules_level,llm_score,llm_level,demand_tags,sales_pitch,reasoning,news_count,recruitment_count,bidding_count,rated_at
武汉木仓科技股份有限公司,91420100333569880Q,"['互联网', '人工智能', '大数据']",互联网信息服务、软件开发、人工智能应用开发、大数据分析、智能驾驶辅助系统,64,A,70,B,"['数据中台', 'AI应用', '智能驾驶数据']",数据驱动增长，AI引领创新,技术投入方面，经营范围覆盖互联网信息服务、AI、大数据和智能驾驶，技术含量高，得分27/30；资金实力数据缺失，按中等水平计10/20；转型意愿近期无动态，按中等水平计13/25；团队规模技术岗位占比20%，技术团队较强，得分10/15；行业匹配度互联网软件行业数字化转型需求极高，得分10/10。总分70，对应B级。,8,12,1,2026-08-06 16:39:34.262292
武汉奇安信科技有限公司,91420100MA4KXNYJ1C,"['网络安全', '人工智能', '云计算']",网络安全技术开发、信息安全服务、软件开发、人工智能应用开发、云计算技术服务,69,A,70,B,"['网络安全', 'AI安全', '云安全']",安全护航数字化，AI赋能未来,技术投入方面，经营范围覆盖网络安全、软件开发、AI和云计算，技术实力强，得分27/30；资金实力数据缺失，按中等水平计10/20；转型意愿近期无动态，按中等水平计13/25；团队规模技术岗位占比20%，技术团队占比较高，得分10/15；行业匹配度网络安全与数字化转型需求高度契合，得分10/10。总分70，对应B级。,6,12,1,2026-08-06 16:39:34.262292
武汉光谷信息技术股份有限公司,91420100663491955X,"['信息技术', '软件开发', '大数据']",地理信息系统、遥感技术服务、软件开发、信息技术咨询服务、计算机系统集成、大数据分析,67,A,66,B,"['时空大数据', '数字孪生', 'GIS云化']",时空大数据平台，数字化决策利器,技术投入方面，经营范围涉及GIS、遥感、软件开发和大数据分析，技术范围广泛，得分26/30；资金实力数据缺失，按中等水平计10/20；转型意愿近期无动态，按中等水平计13/25；团队规模数据缺失，按中等水平计7.5/15；行业匹配度信息技术服务业数字化转型需求高，得分10/10。总分66，对应B级。,14,10,1,2026-08-06 16:39:34.262292
烽火通信科技股份有限公司,914201007146661114,,光纤通信和相关通信技术、信息技术领域的科技开发；相关高新技术产品设计、制造和销售；系统集成,66,A,64,B,"['5G+工业互联网', '智慧工厂', '系统集成优化']",5G智慧工厂，通信技术驱动转型,技术投入方面，经营范围涵盖通信科技开发、产品制造与系统集成，技术投入较深，得分24/30；资金实力数据缺失，按中等水平计10/20；转型意愿近期无动态，按中等水平计13/25；团队规模数据缺失，按中等水平计7.5/15；行业匹配度通信设备制造业对数字化转型需求强烈，得分9/10。总分64，对应B级。,15,2,0,2026-08-06 16:39:34.262292
武汉长飞光纤光缆股份有限公司,91420100616400222M,"['通信技术', '信息技术', '数字化转型']",光纤光缆研发制造、通信技术、信息技术开发、智能网络解决方案、数字化转型服务,76,A,62,B,"['智能制造', '工业互联网', '数据中台']",光纤智造升级，数字化转型咨询落地,技术投入方面，经营范围涵盖光纤光缆研发制造、通信及数字化服务，技术栈较丰富，得分24/30；资金实力数据缺失，按中等水平计10/20；转型意愿近期无明确动态，按中等水平计13/25；团队规模技术岗位占比10%，团队规模一般，得分7/15；行业匹配度光纤光缆制造业数字化转型需求较高，得分8/10。总分62，对应B级。,7,2,1,2026-08-06 16:39:34.262292
武汉旷视金智科技有限公司,91420100MA4KXMM02E,,人工智能技术开发、技术咨询、技术服务；计算机系统集成；软件开发,41,B,60,B,"['AI应用开发', '数据中台']",AI技术企业，可挖掘数据中台与智能办公需求,企业主营人工智能技术开发与系统集成，技术投入评估为中等偏上（18/30）；融资阶段未知，按中等水平评估（10/20）；未发现明确转型动态，但业务属性决定其存在数字化需求，给予中等偏上评分（15/25）；技术岗位占比20%，团队规模未知，按中等水平评估（8/15）；行业为人工智能，匹配度高（9/10）。综合得分60分，评级B，建议持续关注。,13,10,0,2026-08-06 16:39:34.262292
武汉百域人工智能科技有限公司,91420111MA4L0QBP9Q,,数字技术服务、信息系统集成服务、互联网数据服务、人工智能应用软件开发、人工智能公共服务平台技术咨询,41,B,60,B,"['AI应用开发', '数据中台']",AI技术企业，可挖掘数据中台与智能办公需求,企业从事数字技术、AI软件开发等业务，具备一定技术投入（18/30）；融资数据缺失，按中等水平评估（10/20）；无明确转型动态，但行业属性决定了其内在数字化转型意愿，给予中等偏上评分（15/25）；技术岗位占比20%，整体团队规模未知，按中等水平评估（8/15）；行业属人工智能，与数字化解决方案高度匹配（9/10）。综合得分60分，评级B，建议持续关注。,14,12,0,2026-08-06 16:39:34.262292
武汉融芯智能科技有限公司,91420100MABTNX8857,,人工智能硬件开发、智能控制系统集成、人工智能通用应用系统开发、大数据服务,63,A,58,C,"['AI应用', '智能系统集成', '云基础设施']",AI硬件公司，构建云边协同智能平台正当时。,技术投入维度：经营范围涉及AI硬件、智能控制、大数据，技术栈先进，技术岗位占比20%中等，评18分；资金实力维度：融资阶段未知，计10分；转型意愿维度：近期无动态，计12.5分；团队规模维度：技术占比20%，总数未知，计8分；行业匹配度维度：AI与智能控制行业数字化需求强，评9分。总分58，C级，建议暂缓跟进，等待其采购意向。,15,6,1,2026-08-06 16:44:19.979736
武汉极智嘉机器人有限公司,91420100MA4KXKQE5R,"['人工智能', '机器人', '物联网']",智能机器人研发、人工智能技术开发、自动化系统集成、物联网技术服务、云计算,63,A,58,C,"['智能制造', '数据中台', '研发效能']",机器人研发企业，急需数据中台与研发效能双轮驱动。,技术投入维度：经营范围涵盖智能机器人、AI、云计算，技术栈现代，但技术岗位占比20%属中等水平，综合评18分；资金实力维度：融资阶段未知，按中等水平计10分；转型意愿维度：近期动态无，按中等水平计12.5分；团队规模维度：技术岗位占比20%，但总人数未知，按中等偏上计8分；行业匹配度维度：机器人行业与数字化解决方案高度契合，评9分。综合总分58，对应C级，较低需求，建议低成本维护并持续关注。,8,4,1,2026-08-06 16:44:19.979736
武汉达梦数据库有限公司,91420100737519378E,,数据库管理系统软件、数据集成软件、数据治理软件的研发、销售及技术服务；信息系统集成,50,B,54,C,"['数据治理', '信创', '云迁移']",国产数据库领跑者，数据治理与云迁移新机遇。,技术投入维度：技术岗位占比未知，该维度数据缺失，按中等水平15分计；资金实力维度：融资阶段未知，计10分；转型意愿维度：近期动态无，计12.5分；团队规模维度：技术岗位占比未知，按中等水平7.5分；行业匹配度维度：数据库行业与数字化解决方案高度契合，评9分。总分54，C级，建议低成本维护，关注其信创市场拓展需求。,15,10,0,2026-08-06 16:44:19.979736
武汉爱迪软件技术有限公司,91420100MA4F3N3H5N,,智慧检务软件产品开发、信息系统集成服务、软件开发、信息技术咨询,42,B,53,C,"['政务数字化', '协同办公', '数据安全']",智慧检务专家，赋能政务数字化,技术投入、资金实力、转型意愿、团队规模等维度数据缺失，按中等水平评估（分别计15、10、12.5、7.5分）；行业为智慧检务与系统集成，匹配度较高（计8分）。综合得分53分，属于较低需求，建议低成本维护。,13,8,1,2026-08-06 16:44:19.979736
远光软件(武汉)有限公司,91420100333557392D,,软件开发、信息技术咨询服务、计算机系统集成、大数据分析,49,B,53,C,"['数据中台', '云原生', 'AI应用']",深耕软件与大数据，助力企业数字化升级,技术投入、资金实力、转型意愿、团队规模等维度数据缺失，按中等水平评估（分别计15、10、12.5、7.5分）；行业为软件开发与大数据分析，匹配度较高（计8分）。综合得分53分，属于较低需求，建议低成本维护。,16,10,1,2026-08-06 16:44:19.979736
武汉斗鱼网络科技有限公司,91420100333437374F,,网络直播平台运营、互联网技术开发、软件开发、信息技术咨询服务、计算机系统集成,34,C,,,,,,14,8,0,2026-08-06 16:37:55.195545
武汉灿宇未来科技有限公司,91420111MA49RM6Q01,,信息技术咨询服务、软件开发、人工智能基础软件开发、网络技术服务,34,C,,,,,,14,10,0,2026-08-06 16:37:55.195545
腾讯科技(武汉)有限公司,91420100584872426J,,计算机软硬件技术开发、销售；互联网技术开发；信息技术咨询服务；网络游戏开发,25,C,,,,,,14,4,0,2026-08-06 16:37:55.195545
