序号,企业名称,统一社会信用代码,注册资本,注册资本(万元),经营范围,状态,规则引擎分数,规则引擎等级,Claude评级分数,Claude评级等级,需求标签,销售话术,信用代码正确?,企业名称正确?,经营范围准确?,备注
1,武汉智云科技有限公司,91420100MA4K2X1A3B,5000万元,5000.00,人工智能软件开发、云计算、大数据分析,scored,58,B,,,,,,,,
2,光谷数据科技有限公司,91420100MA4K3Y2B4C,1000万元,1000.00,大数据平台开发、数字化转型咨询,scored,17,D,,,,,,,,
3,武汉华信软件有限公司,91420100MA4K4Z3C5D,300万元,300.00,网络工程、硬件销售、监控设备,scored,,D,,,,,,,,
4,武汉创新云计算有限公司,91420100MA4K5A4D6E,8000万元,8000.00,云计算平台、AI中台、系统集成,rated,64,A,83,A,"云原生升级,AI中台深化,金融云方案,数据中台",赋能创新云计算AI中台+金融云双轮驱动,,,,
5,武汉传统信息技术有限公司,91420100MA4K6B5E7F,200万元,200.00,办公设备销售、维修服务,scored,,D,,,,,,,,
6,武汉星辰智能有限公司,91420100MA4K7C6F8G,2000万元,2000.00,智能安防、物联网、软件开发,scored,32,C,,,,,,,,
7,武汉数字转型咨询有限公司,91420100MA4K8D7G9H,1500万元,1500.00,数字化转型咨询、大模型应用、数据治理,scored,55,B,,,,,,,,
8,武汉基础网络有限公司,91420100MA4K9E8H0I,100万元,100.00,网络布线、弱电工程,scored,,D,,,,,,,,
9,武汉云端科技有限公司,91420100MA4L0F9I1J,3000万元,3000.00,云原生开发、DevOps、容器化,scored,20,C,,,,,,,,
10,武汉老牌软件有限公司,91420100MA4L1G0J2K,800万元,800.00,传统ERP开发、软件外包,scored,,D,,,,,,,,
