序号,企业名称,统一社会信用代码,注册资本(万元),经营范围,法定代表人,成立日期,规则引擎分数,规则引擎等级,Claude评级分数,Claude评级等级,需求标签,销售话术,信用代码正确?,备注
1,武汉斗鱼网络科技有限公司,91420100333437374F,2234.00,网络直播平台运营、互联网技术开发、软件开发、信息技术咨询服务、计算机系统集成,陈少杰,2015-05-08,29,C,,,,,,
2,烽火通信科技股份有限公司,914201007146661114,128921.00,光纤通信和相关通信技术、信息技术领域的科技开发；相关高新技术产品设计、制造和销售；系统集成,曾军,1999-12-25,32,C,,,,,,
3,武汉达梦数据库有限公司,91420100737519378E,7050.00,数据库管理系统软件、数据集成软件、数据治理软件的研发、销售及技术服务；信息系统集成,冯裕才,2000-11-13,32,C,,,,,,
4,武汉旷视金智科技有限公司,91420100MA4KXMM02E,1000.00,人工智能技术开发、技术咨询、技术服务；计算机系统集成；软件开发,唐雪峰,2019-01-15,51,B,,,,,,
5,腾讯科技(武汉)有限公司,91420100584872426J,1000.00,计算机软硬件技术开发、销售；互联网技术开发；信息技术咨询服务；网络游戏开发,马化腾,2012-02-15,35,C,,,,,,
6,远光软件(武汉)有限公司,91420100333557392D,500.00,软件开发、信息技术咨询服务、计算机系统集成、大数据分析,陈利浩,2015-07-20,16,D,,,,,,
7,武汉百域人工智能科技有限公司,91420111MA4L0QBP9Q,3500.00,数字技术服务、信息系统集成服务、互联网数据服务、人工智能应用软件开发、人工智能公共服务平台技术咨询,陈刚,2018-09-13,61,A,80,A,"AI中台深化,政务数字化,数据治理平台,NLP智能分析",赋能百域AI中台+政务数字化双轮驱动,,
8,武汉融芯智能科技有限公司,91420100MABTNX8857,2000.00,人工智能硬件开发、智能控制系统集成、人工智能通用应用系统开发、大数据服务,王磊,2021-06-15,25,C,,,,,,
9,武汉爱迪软件技术有限公司,91420100MA4F3N3H5N,500.00,智慧检务软件产品开发、信息系统集成服务、软件开发、信息技术咨询,李明,2021-03-10,4,D,,,,,,
10,武汉灿宇未来科技有限公司,91420111MA49RM6Q01,100.00,信息技术咨询服务、软件开发、人工智能基础软件开发、网络技术服务,张伟,2021-05-20,9,D,,,,,,
