id,company_name,credit_code,registered_capital,capital_amount,established_date,legal_representative,business_scope,registered_address,status,industry_tags,source_url,created_at,updated_at,funding_stage
1,武汉斗鱼网络科技有限公司,91420100333437374F,2234万元,2234.00,2015-05-08,陈少杰,网络直播平台运营、互联网技术开发、软件开发、信息技术咨询服务、计算机系统集成,,scored,,,2026-07-29 10:20:35.168992,2026-08-06 16:37:55.195545,D
2,烽火通信科技股份有限公司,914201007146661114,128921万元,128921.00,1999-12-25,曾军,光纤通信和相关通信技术、信息技术领域的科技开发；相关高新技术产品设计、制造和销售；系统集成,,rated,,,2026-07-29 10:20:35.168992,2026-08-06 16:37:55.195545,C
3,武汉达梦数据库有限公司,91420100737519378E,7050万元,7050.00,2000-11-13,冯裕才,数据库管理系统软件、数据集成软件、数据治理软件的研发、销售及技术服务；信息系统集成,,rated,,,2026-07-29 10:20:35.168992,2026-08-06 16:37:55.195545,C
4,武汉旷视金智科技有限公司,91420100MA4KXMM02E,1000万元,1000.00,2019-01-15,唐雪峰,人工智能技术开发、技术咨询、技术服务；计算机系统集成；软件开发,,rated,,,2026-07-29 10:20:35.168992,2026-08-06 16:37:55.195545,D
5,腾讯科技(武汉)有限公司,91420100584872426J,1000万元,1000.00,2012-02-15,马化腾,计算机软硬件技术开发、销售；互联网技术开发；信息技术咨询服务；网络游戏开发,,scored,,,2026-07-29 10:20:35.168992,2026-08-06 16:37:55.195545,D
6,远光软件(武汉)有限公司,91420100333557392D,500万元,500.00,2015-07-20,陈利浩,软件开发、信息技术咨询服务、计算机系统集成、大数据分析,,rated,,,2026-07-29 10:20:35.168992,2026-08-06 16:37:55.195545,B
7,武汉百域人工智能科技有限公司,91420111MA4L0QBP9Q,3500万元,3500.00,2018-09-13,陈刚,数字技术服务、信息系统集成服务、互联网数据服务、人工智能应用软件开发、人工智能公共服务平台技术咨询,,rated,,,2026-07-29 10:20:35.168992,2026-08-06 16:37:55.195545,A
8,武汉融芯智能科技有限公司,91420100MABTNX8857,2000万元,2000.00,2021-06-15,王磊,人工智能硬件开发、智能控制系统集成、人工智能通用应用系统开发、大数据服务,,rated,,,2026-07-29 10:20:35.168992,2026-08-06 16:37:55.195545,A
9,武汉爱迪软件技术有限公司,91420100MA4F3N3H5N,500万元,500.00,2021-03-10,李明,智慧检务软件产品开发、信息系统集成服务、软件开发、信息技术咨询,,rated,,,2026-07-29 10:20:35.168992,2026-08-06 16:37:55.195545,A
10,武汉灿宇未来科技有限公司,91420111MA49RM6Q01,100万元,100.00,2021-05-20,张伟,信息技术咨询服务、软件开发、人工智能基础软件开发、网络技术服务,,scored,,,2026-07-29 10:20:35.168992,2026-08-06 16:37:55.195545,A
11,武汉光谷信息技术股份有限公司,91420100663491955X,5100万元,5100.00,,,地理信息系统、遥感技术服务、软件开发、信息技术咨询服务、计算机系统集成、大数据分析,,rated,"[""信息技术"", ""软件开发"", ""大数据""]",,2026-07-29 16:05:06.385884,2026-08-06 16:37:55.195545,B
12,武汉奇安信科技有限公司,91420100MA4KXNYJ1C,5000万元,5000.00,,,网络安全技术开发、信息安全服务、软件开发、人工智能应用开发、云计算技术服务,,rated,"[""网络安全"", ""人工智能"", ""云计算""]",,2026-07-29 16:05:06.385884,2026-08-06 16:37:55.195545,A
13,武汉长飞光纤光缆股份有限公司,91420100616400222M,75000万元,75000.00,,,光纤光缆研发制造、通信技术、信息技术开发、智能网络解决方案、数字化转型服务,,rated,"[""通信技术"", ""信息技术"", ""数字化转型""]",,2026-07-29 16:05:06.385884,2026-08-06 16:37:55.195545,B
14,武汉木仓科技股份有限公司,91420100333569880Q,3000万元,3000.00,,,互联网信息服务、软件开发、人工智能应用开发、大数据分析、智能驾驶辅助系统,,rated,"[""互联网"", ""人工智能"", ""大数据""]",,2026-07-29 16:05:06.385884,2026-08-06 16:37:55.195545,B
15,武汉极智嘉机器人有限公司,91420100MA4KXKQE5R,2000万元,2000.00,,,智能机器人研发、人工智能技术开发、自动化系统集成、物联网技术服务、云计算,,rated,"[""人工智能"", ""机器人"", ""物联网""]",,2026-07-29 16:05:06.385884,2026-08-06 16:37:55.195545,B
