id,company_id,tech_stack,github_org,github_stars,tech_blog_url,cloud_provider,has_github_org,has_tech_blog,ai_job_ratio,created_at
41,1,"[""Go"", ""Java"", ""Node.js"", ""Redis"", ""Kafka"", ""Kubernetes""]",douyu-live,0,,阿里云,True,True,0.0000,2026-08-06 16:33:42.940076
42,2,"[""C++"", ""Java"", ""Python"", ""5G"", ""SDN""]",FiberHome,0,,华为云,True,True,0.0000,2026-08-06 16:33:42.940076
43,3,"[""C++"", ""Java"", ""数据库"", ""分布式""]",dameng,0,,华为云,True,True,0.0000,2026-08-06 16:33:42.940076
44,4,"[""Python"", ""C++"", ""PyTorch"", ""深度学习"", ""计算机视觉""]",Megvii-Engine,0,,阿里云,True,True,0.2000,2026-08-06 16:33:42.940076
45,5,"[""Go"", ""C++"", ""Java"", ""Python"", ""微服务"", ""Kubernetes""]",Tencent,0,,腾讯云,True,True,0.0000,2026-08-06 16:33:42.940076
46,6,"[""Java"", ""微服务"", ""区块链"", ""大数据""]",,0,,阿里云,False,True,0.0000,2026-08-06 16:33:42.940076
47,7,"[""Python"", ""深度学习"", ""NLP"", ""大模型""]",,0,,阿里云,False,False,0.2000,2026-08-06 16:33:42.940076
48,8,"[""Python"", ""AI芯片"", ""嵌入式"", ""FPGA""]",,0,,华为云,False,False,0.2000,2026-08-06 16:33:42.940076
49,9,"[""Java"", "".NET"", ""软件外包""]",,0,,,False,False,0.0000,2026-08-06 16:33:42.940076
50,10,"[""Python"", ""数据分析"", ""AI应用""]",,0,,,False,False,0.2000,2026-08-06 16:33:42.940076
51,11,"[""Java"", ""GIS"", ""大数据"", ""云计算"", ""智慧城市""]",gbit-tech,0,,华为云,True,True,0.0000,2026-08-06 16:33:42.940076
52,12,"[""Python"", ""Go"", ""安全"", ""大数据"", ""威胁检测""]",qianxin,0,,阿里云,True,True,0.2000,2026-08-06 16:33:42.940076
53,13,"[""C++"", ""Java"", ""物联网"", ""5G"", ""光纤""]",,0,,华为云,False,True,0.1000,2026-08-06 16:33:42.940076
54,14,"[""Java"", ""Python"", ""大数据"", ""AI"", ""驾培""]",mucang,0,,阿里云,True,True,0.2000,2026-08-06 16:33:42.940076
55,15,"[""C++"", ""Python"", ""ROS"", ""SLAM"", ""机器人""]",GeekPlusTech,0,,阿里云,True,True,0.2000,2026-08-06 16:33:42.940076
